task,model,r2_train,r2_test,rmse_test,accuracy,weighted_f1,macro_f1,tfidf_max_features,tfidf_ngram_range,tfidf_svd_n_components,imb_sampler,xgb_colsample_bytree,xgb_learning_rate,xgb_max_depth,xgb_n_estimators,xgb_subsample
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9926219582557678,0.6998846530914307,0.8389594812214036,0.44232365145228214,0.44354809576671383,0.4210672703789677,20000,"(1, 1)",300,random,1.0,0.1,6,800,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9989503026008606,0.6958909034729004,0.8445231109989184,0.4429460580912863,0.44044836885373256,0.4205864576547677,20000,"(1, 1)",300,random,1.0,0.1,8,500,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9995259642601013,0.6959521770477295,0.8444380956719253,0.4452282157676348,0.44328161450697473,0.4227476705375567,20000,"(1, 1)",300,random,1.0,0.1,8,600,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9998868703842163,0.6959000825881958,0.8445104421757124,0.4470954356846473,0.44523082430786176,0.42474763857012043,20000,"(1, 1)",300,random,1.0,0.1,8,800,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9095479249954224,0.695099949836731,0.8456207305732758,0.437551867219917,0.4377288463859698,0.4204878575781182,20000,"(1, 1)",300,random,1.0,0.15,4,500,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9263097643852234,0.6941255331039429,0.8469708391977403,0.4363070539419087,0.4368123512369302,0.4179854304961669,20000,"(1, 1)",300,random,1.0,0.15,4,600,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9505845308303833,0.6939135193824768,0.847264353081543,0.44190871369294604,0.4438406207379941,0.4229924916273089,20000,"(1, 1)",300,random,1.0,0.15,4,800,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9912034869194031,0.6974735260009766,0.8423228026007179,0.4470954356846473,0.44744921207867655,0.4251929954603028,20000,"(1, 1)",300,random,1.0,0.15,6,500,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9951996803283691,0.6970587372779846,0.8429000600240263,0.4464730290456432,0.4473559230786069,0.42366490657865413,20000,"(1, 1)",300,random,1.0,0.15,6,600,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.998495876789093,0.6964994668960571,0.8436777649087561,0.4504149377593361,0.4514670988075864,0.4267078797585294,20000,"(1, 1)",300,random,1.0,0.15,6,800,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9998453855514526,0.689405083656311,0.853481335682258,0.43983402489626555,0.4420176339346814,0.4202834435225459,20000,"(1, 1)",300,random,1.0,0.15,8,500,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9999310374259949,0.6893814206123352,0.8535138791413422,0.43900414937759336,0.44118653689623677,0.41953350222792984,20000,"(1, 1)",300,random,1.0,0.15,8,600,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9999578595161438,0.689419150352478,0.8534620604303715,0.4400414937759336,0.44222867391131426,0.42035416008867177,20000,"(1, 1)",300,random,1.0,0.15,8,800,1.0
